,workerid,item,slide_number,condition,language,pref1,response1,pref2,response2,pref3,response3,pref4,response4,pref5,response5,pref6,response6,pref7,response7,pref8,response8,pref9,response9,obj1,obj2,obj3,ambiguous,numFeatures,utterancecode
16,1,1625,3,211112,english,circle,0.7,striped,0.6,red,0.7,solid,0.55,blue,0.6,cloud,0.6,green,0.75,,,,,222,123,111,True,7,22b1
17,1,1685,4,121212,english,polka-dotted,0.8,striped,0.85,green,0.65,square,0.85,blue,0.85,cloud,0.7,,,,,,,331,123,123,False,6,22a2a
18,1,1291,5,111111,english,solid,0.8,green,0.75,circle,0.75,polka-dotted,0.8,striped,0.8,square,0.8,red,0.85,cloud,0.8,blue,0.7,231,322,113,False,9,111
19,1,384,6,122132,english,cloud,0.75,circle,0.85,polka-dotted,0.8,solid,0.75,green,0.0,,,,,,,,,233,133,113,True,5,322b
20,1,1936,7,111212,english,blue,0.05,striped,0.9,solid,0.8,circle,0.9,polka-dotted,0.85,square,0.7,red,0.75,,,,,222,311,331,True,7,22a1
21,1,1294,8,111111,english,polka-dotted,0.75,green,0.75,circle,0.85,red,0.7,blue,0.8,square,0.85,cloud,0.7,solid,0.75,striped,0.7,112,323,231,False,9,111
22,1,2049,9,322122,english,cloud,0.85,striped,0.75,square,0.8,blue,0.6,red,0.9,,,,,,,,,322,321,122,True,5,322b
23,1,1151,10,212232,english,green,0.75,cloud,0.85,solid,0.7,polka-dotted,0.8,red,0.8,,,,,,,,,133,113,132,True,5,322b
24,1,922,11,212121,english,circle,0.35,striped,0.25,blue,0.75,red,0.25,square,0.85,polka-dotted,0.8,,,,,,,222,222,331,False,6,22a2a
25,1,1385,12,113211,english,solid,0.8,square,0.85,circle,0.9,polka-dotted,0.75,striped,0.85,cloud,0.65,blue,0.1,,,,,231,311,121,True,7,311
26,1,1783,13,322132,english,solid,0.15,blue,0.05,square,0.1,striped,1.0,,,,,,,,,,,311,311,321,True,4,332
27,1,1660,14,121212,english,square,0.2,solid,0.75,cloud,0.9,striped,0.25,red,0.2,green,0.85,,,,,,,113,322,322,False,6,22a2a
28,1,1165,15,212232,english,red,0.65,green,0.3,circle,0.0,striped,0.2,solid,0.95,,,,,,,,,223,213,222,True,5,322b
29,1,953,16,121112,english,circle,0.75,green,0.85,polka-dotted,0.7,red,0.25,cloud,0.75,square,0.7,striped,0.3,,,,,333,122,222,True,7,22a1
30,1,1002,17,212212,english,green,0.35,cloud,0.8,red,0.75,square,0.25,polka-dotted,0.25,striped,0.7,,,,,,,322,333,132,True,6,22b2b
31,2,2321,3,123232,English,green,1.0,striped,1.0,square,0.75,circle,1.0,,,,,,,,,,,323,223,223,True,4,332
32,2,2179,4,121111,English,circle,0.6,cloud,0.65,solid,0.5,polka-dotted,0.65,green,0.2,blue,0.2,square,0.4,red,0.25,,,313,232,131,True,8,211
33,2,1123,5,321212,English,solid,0.6,circle,0.2,red,1.0,square,0.7,polka-dotted,0.25,,,,,,,,,232,312,312,True,5,322a
34,2,1001,6,212212,English,circle,0.25,cloud,0.65,striped,0.65,blue,0.3,green,0.65,solid,0.3,,,,,,,223,121,113,True,6,22b2b
35,2,1971,7,323232,English,red,1.0,polka-dotted,1.0,circle,1.0,,,,,,,,,,,,,232,232,232,False,3,333
36,2,930,8,212121,English,red,0.25,square,0.65,solid,0.25,blue,0.65,cloud,0.25,polka-dotted,0.7,,,,,,,331,331,112,False,6,22a2a
37,2,1284,9,111111,English,red,0.2,cloud,0.2,square,0.2,green,0.2,solid,0.2,blue,0.2,circle,0.2,striped,0.2,polka-dotted,0.2,223,111,332,False,9,111
38,2,2082,10,321111,English,green,1.0,square,0.2,striped,0.2,polka-dotted,0.2,circle,0.2,solid,0.2,cloud,0.25,,,,,113,333,223,True,7,311
39,2,1381,11,113211,English,red,1.0,square,0.2,polka-dotted,0.2,circle,0.2,cloud,0.2,striped,0.2,solid,0.2,,,,,332,122,212,True,7,311
40,2,1759,12,322132,English,cloud,0.25,circle,0.65,red,1.0,striped,1.0,,,,,,,,,,,222,222,122,True,4,332
41,2,927,13,212121,English,polka-dotted,1.0,solid,0.25,blue,1.0,circle,0.25,cloud,0.65,green,0.25,,,,,,,131,131,213,False,6,22a2a
42,2,1862,14,123212,English,red,1.0,polka-dotted,0.3,striped,0.7,square,0.7,cloud,0.3,,,,,,,,,132,322,322,True,5,322a
43,2,1554,15,322121,English,red,0.25,striped,0.25,cloud,1.0,blue,0.7,polka-dotted,0.7,,,,,,,,,131,131,122,True,5,322a
44,2,1952,16,323232,English,polka-dotted,1.0,cloud,1.0,blue,1.0,,,,,,,,,,,,,131,131,131,False,3,333
45,2,650,17,112121,English,polka-dotted,0.25,blue,0.25,red,0.7,striped,0.25,square,0.25,solid,0.25,cloud,0.75,,,,,132,122,311,True,7,22a1
46,3,21,3,122112,English,blue,0.75,square,0.3,polka-dotted,0.3,solid,0.8,cloud,0.8,red,0.25,,,,,,,132,111,311,True,6,22a2b
47,3,1663,4,121212,English,blue,0.2,red,0.85,polka-dotted,0.2,circle,0.2,cloud,0.8,striped,0.85,,,,,,,231,122,122,False,6,22a2a
48,3,399,5,122132,English,circle,0.2,blue,1.0,striped,0.2,polka-dotted,0.8,square,0.8,,,,,,,,,231,331,321,True,5,322b
49,3,2002,6,322122,English,square,0.2,solid,0.25,red,0.95,cloud,0.75,striped,0.8,,,,,,,,,122,112,322,True,5,322b
50,3,1910,7,111212,English,polka-dotted,0.25,green,0.2,circle,0.65,red,0.8,square,0.2,striped,0.25,solid,0.25,,,,,313,232,222,True,7,22a1
51,3,1224,8,112112,English,red,0.25,circle,0.15,green,0.8,cloud,0.25,polka-dotted,0.8,solid,0.15,square,0.2,,,,,313,233,132,True,7,22b1
52,3,1791,9,322132,English,polka-dotted,0.2,cloud,1.0,red,0.95,striped,0.7,,,,,,,,,,,122,122,132,True,4,332
53,3,109,10,212111,English,blue,0.2,cloud,0.2,striped,0.75,square,0.75,green,0.2,red,0.25,polka-dotted,0.2,,,,,322,321,133,True,7,22a1
54,3,1952,11,323232,English,polka-dotted,1.0,cloud,0.95,blue,1.0,,,,,,,,,,,,,131,131,131,False,3,333
55,3,1530,12,322112,English,green,0.95,square,0.25,cloud,0.8,striped,0.25,solid,0.8,,,,,,,,,123,113,313,True,5,322b
56,3,1997,13,323232,English,cloud,0.95,red,0.95,solid,0.95,,,,,,,,,,,,,112,112,112,False,3,333
57,3,410,14,321112,English,blue,0.2,solid,1.0,red,0.25,cloud,0.7,square,0.2,green,0.25,,,,,,,311,112,113,True,6,321
58,3,2227,15,323211,English,cloud,0.25,polka-dotted,0.95,square,0.25,blue,0.95,circle,0.25,,,,,,,,,231,131,331,True,5,331
59,3,1272,16,111111,English,solid,0.2,polka-dotted,0.2,circle,0.2,striped,0.2,green,0.2,red,0.2,blue,0.2,cloud,0.2,square,0.2,122,333,211,False,9,111
60,3,1980,17,323232,English,blue,0.95,cloud,1.0,solid,0.95,,,,,,,,,,,,,111,111,111,False,3,333
61,4,523,3,112132,english,polka-dotted,0.3,square,0.65,red,0.8,solid,0.55,circle,0.75,cloud,0.6,,,,,,,212,112,332,True,6,321
62,4,1965,4,323232,english,cloud,0.9,blue,0.95,solid,0.7,,,,,,,,,,,,,111,111,111,False,3,333
63,4,932,5,212121,english,green,0.6,blue,0.7,polka-dotted,0.5,solid,0.35,circle,0.6,square,0.5,,,,,,,311,311,233,False,6,22a2a
64,4,1933,6,111212,english,square,0.6,polka-dotted,0.4,red,0.3,cloud,0.35,solid,0.5,striped,0.35,green,0.45,,,,,122,333,313,True,7,22a1
65,4,1078,7,113212,english,solid,0.9,square,0.85,green,0.9,circle,0.7,striped,0.5,cloud,0.6,,,,,,,123,213,313,True,6,321
66,4,1443,8,322111,english,red,0.35,solid,0.5,polka-dotted,0.5,blue,0.6,striped,0.4,square,0.6,,,,,,,321,331,312,True,6,321
67,4,1399,9,113211,english,striped,0.5,red,0.65,square,0.35,blue,0.6,cloud,0.5,circle,0.35,green,0.5,,,,,123,221,322,True,7,311
68,4,1277,10,111111,english,square,0.35,red,0.35,green,0.25,circle,0.4,striped,0.2,blue,0.4,polka-dotted,0.3,cloud,0.25,solid,0.35,331,212,123,False,9,111
69,4,1624,11,211112,english,red,0.2,green,0.3,circle,0.5,blue,0.25,polka-dotted,0.35,solid,0.3,cloud,0.35,,,,,133,231,212,True,7,22b1
70,4,875,12,112122,english,striped,0.25,circle,0.4,square,0.2,blue,0.3,solid,0.2,red,0.35,polka-dotted,0.25,,,,,322,331,212,True,7,22b1
71,4,916,13,212121,english,solid,0.4,circle,0.5,cloud,0.5,striped,0.25,green,0.6,blue,0.3,,,,,,,123,123,211,False,6,22a2a
72,4,533,14,112132,english,striped,0.35,solid,0.5,circle,0.3,polka-dotted,0.2,red,0.65,square,0.25,,,,,,,232,222,312,True,6,321
73,4,1959,15,323232,english,polka-dotted,0.9,red,0.95,square,0.95,,,,,,,,,,,,,332,332,332,False,3,333
74,4,1362,16,113211,english,green,0.4,red,0.5,square,0.6,blue,0.25,solid,0.4,cloud,0.6,circle,0.4,,,,,213,112,311,True,7,311
75,4,1850,17,122121,english,green,0.6,solid,0.3,striped,0.5,circle,0.65,cloud,0.4,blue,0.7,,,,,,,221,211,113,True,6,22a2b
91,6,1118,3,321212,English,blue,0.7,green,0.75,cloud,0.6,solid,0.7,circle,0.65,,,,,,,,,211,113,113,True,5,322a
92,6,1715,4,212112,English,square,0.7,solid,0.8,blue,0.65,red,0.75,circle,0.85,striped,0.8,,,,,,,211,212,322,True,6,22a2b
93,6,1180,5,212232,English,striped,0.7,polka-dotted,0.8,cloud,0.75,green,0.85,blue,0.85,,,,,,,,,131,133,121,True,5,322b
