age,gender,comments,education,enjoyment,assess,language,workerid
24,Female,Great hit it was fun,2,2,Yes,English,0
61,Male,,4,1,Yes,English,1
42,Male,,1,2,Yes,English,2
31,Female,none,3,2,Yes,English,3
25,Male,,2,2,Yes,English,4
31,Female,"would love to do more, very fun!",2,2,Yes,English,5
42,Female,,1,2,Yes,english,6
23,Female,,2,2,Yes,English,7
28,Male,,3,2,Yes,English,8
35,Male,Was fun :) I enjoy these types of scenarios!,3,2,Yes,English,9
31,Male,"This was refreshing, thank you",2,2,Yes,English,10
21,Male,,2,2,Yes,English,11
31,Male,This was actually a fun experiment,2,2,Yes,English,12
36,Male,Thanks,1,2,Yes,English,13
37,Female,"None, thank you.",3,2,Yes,English,14
40,Male,,1,1,Yes,English,15
41,Female,A fun hit!,3,2,Yes,English,16
27,Female,i really enjoy this experiment,3,2,Yes,english-spanish,17
39,Male,,3,2,Yes,English,18
38,Female,thanks,2,2,Yes,English,19
23,Male,,2,2,Yes,English,20
40,Male,lovely,3,2,Yes,English Language,21
29,Male,I thought this study was very fun and different. I'd love to do an additional one in the future. Thanks for working with me.,2,2,Yes,English,22
34,Male,"Good Hit, thanks",2,2,Yes,English,23
35,Male,,2,2,Yes,english,24
34,Female,,2,2,Yes,English,25
32,Male,,3,2,Yes,English,26
32,Male,,3,1,Yes,english,27
55,Male,interesting and different,2,2,Yes,english,28
35,Male,None at this time,4,2,Yes,English,29
28,Female,Very well paid and interesting experiment. Just wanted to say Thank you. ,3,2,Yes,English,30
35,Male,,3,1,Yes,English,31
56,Female,"I got it toward the end, pretty fun when I figured it out.",3,2,Yes,English,32
34,Female,,2,2,Yes,English,33
32,Male,,2,2,Yes,English,34
24,Male,,3,2,Yes,English,35
32,Female,GREAT STUDY. HAD FUN DOING IT,2,2,Yes,ENGLISH,36
25,Male,Thank you,2,2,Yes,English,37
38,Male,"Hello, I accidentally browsed away from the page so had to complete it a second time, but I completed it the same way I would have if I had never seen it before.  The logic works the same.  Apologies if you have duplicate data.  Thanks.",1,2,Yes,English,38
52,Female,I really didn't understand the responses. Several shapes were outlined with yellow. Is the HIT working correctly? I also felt like they made conflicting statements about their preferences. I did try to complete this to the best of my ability.,4,2,Confused,English,39
33,Male,This experiment was very interesting and well conducted. The questions and images were interesting as well. Thanks,3,2,Yes,English,40
48,Male,,3,2,Yes,English,41
18,Female,GOOD,3,1,Confused,TAMIL,42
24,Female,interesting,4,2,Yes,english,43
29,Male,"this was pretty fun, I enjoy HIT's like this. ",0,2,Yes,English,44
29,Female,,2,0,Yes,english,45
56,Male,,2,2,Yes,en,46
32,Male,thanks,3,1,Yes,English,47
28,Male,,3,2,Yes,english,48
47,Female,,3,2,Yes,English,49
30,Male,This was short and fun and easy thanks!,3,2,Yes,english,50
27,Female,,3,2,Yes,English,51
29,Female,"This was very interesting, Thanks!",2,2,Yes,English,52
24,Male,,3,2,Yes,English,53
50,Male,"I don't have any really, thank you",2,2,Yes,English,54
37,Female,,1,2,Yes,english,55
25,Male,,3,1,Yes,english,56
40,Female,This was really interesting and quite unique. I got better as I went on. I'd love to take apart again!,2,2,Yes,English,57
34,Male,Fun experiment. ,2,2,Yes,English,58
47,Male,,1,1,Confused,English,59
25,Female,,2,2,Yes,English,60
48,Male,Fun survey. Thanks.,3,2,Yes,english,61
32,Male,,3,2,Yes,English,62
29,Male,"Great $/hr ratio, thank you!",2,2,Yes,English,63
41,Female,It was interesting.,3,2,Yes,English,64
40,Male,,3,2,Yes,English,65
28,Female,"This was a good hit, but I really thought I narrowed down what people wanted and seemed to get worse each trial. ",2,2,Yes,English,66
34,Male,Very fun and engaging. Nice!,3,2,Yes,English,67
27,Female,,2,2,Yes,English,68
46,Female,,-1,2,Yes,english,69
28,Male,,2,2,Yes,English,70
35,Female,Such a fun hit and fair compensation. Thank you so much!,3,2,Yes,ENGLISH,71
28,Male,none,2,2,Yes,English,72
34,Female,"it's a very fun game, thank you!",4,2,Yes,Chinese,73
36,Male,,3,2,Yes,English,74
27,Male,,2,1,Yes,English,75
63,Male,Very interesting and a well done HIT. Thank you for your time and I wish you success with your project on Amazon Mechanical Turk.,3,2,Yes,English,76
51,Female,This was fun. Thanks for the opportunity.,2,2,Yes,english,77
24,Female,,2,2,Yes,English,78
32,Female,This was fun. Thank you.,1,2,Yes,english,79
