sex,targetUttCode,featuresPresent,normResponse2,obj1,trial_type,blockNr,obj2,name,normResponse1,numFeatures,certainty,uttCode,utterance,pref2,targetFeature,targetFeatureNum,response0,Answer.time_in_minutes,normResponse0,response1,response2,workerid,slide_number,pref3,item,pref1,obj3
male,22a2b-2a,"['circle', 'square', 'red', 'green']",0.5,312,task,0,232,,0.5,4,,22a2b,green,striped,texture,2,0,5.151433333333333,0,0.5,0.5,0,3,polka-dotted,12711,solid,313
male,311-3,"['cloud', 'circle', 'square', 'green']",0.5,113,task,0,323,,0.5,4,,311,cloud,striped,texture,2,0,5.151433333333333,0,0.5,0.5,0,4,polka-dotted,25711,solid,233
male,22b1-2,"['cloud', 'circle', 'square', 'blue', 'green']",0.2040816326530612,311,task,0,221,,0.38775510204081626,5,,22b1,circle,striped,texture,2,1,5.151433333333333,0.4081632653061224,0.95,0.5,0,5,polka-dotted,13381,solid,123
male,211-3,"['circle', 'square', 'blue', 'red', 'green']",0,321,task,0,332,,0.7692307692307692,5,,211,square,striped,texture,2,0.3,5.151433333333333,0.23076923076923075,1,0,0,6,polka-dotted,11101,solid,213
,,,,,,,,,,,0.75,,,,,,,5.151433333333333,,,,0,,,,,
male,331-3,"['cloud', 'striped']",0,121,task,1,122,,0,2,,331,cloud,red,color,3,1,5.151433333333333,1,0,0,0,11,green,13990,blue,123
male,211-3,"['cloud', 'circle', 'square', 'solid', 'striped']",0.5,321,task,1,212,,0,5,,211,solid,red,color,3,1,5.151433333333333,0.5,0,1,0,12,green,8662,blue,113
male,311-3,"['cloud', 'circle', 'square', 'solid']",0.393939393939394,311,task,1,212,,0,4,,311,solid,red,color,3,1,5.151433333333333,0.6060606060606061,0,0.65,0,13,green,8631,blue,113
male,321-2,"['cloud', 'circle', 'square', 'solid']",0.28571428571428575,211,task,1,113,,0,4,,321,solid,red,color,3,1,5.151433333333333,0.7142857142857143,0,0.4,0,14,green,12941,blue,313
,,,,,,,,,,,0.8,,,,,,,5.151433333333333,,,,0,,,,,
male,22a2b-2a,"['cloud', 'square', 'red', 'green']",0,132,task,2,332,,0.6666666666666666,4,,22a2b,square,striped,texture,2,0.5,5.151433333333333,0.3333333333333333,1,0,0,19,polka-dotted,19221,solid,323
male,22b2b-2,"['cloud', 'square', 'blue', 'red']",0,121,task,2,322,,0.6666666666666666,4,,22b2b,cloud,striped,texture,2,0.5,5.151433333333333,0.3333333333333333,1,0,0,20,polka-dotted,5491,solid,132
male,211-3,"['circle', 'square', 'blue', 'red', 'green']",0,321,task,2,332,,0.7692307692307692,5,,211,square,striped,texture,2,0.3,5.151433333333333,0.23076923076923075,1,0,0,21,polka-dotted,11101,solid,213
male,211-3,"['cloud', 'circle', 'square', 'blue', 'red']",0,131,task,2,312,,1,5,,211,red,striped,texture,2,0,5.151433333333333,0,1,0,0,22,polka-dotted,3471,solid,222
,,,,,,,,,,,1,,,,,,,5.151433333333333,,,,0,,,,,
male,22a1-3,"['cloud', 'square', 'red', 'green']",0.9444444444444444,122,task,0,132,,0.05555555555555556,4,,22a1,red,striped,texture,2,0,9.226883333333333,0,0.05,0.85,1,3,polka-dotted,12571,solid,313
male,322b-2,"['cloud', 'circle', 'green']",0.9047619047619047,123,task,0,133,,0.047619047619047616,3,,322b,cloud,striped,texture,2,0.05,9.226883333333333,0.047619047619047616,0.05,0.95,1,4,polka-dotted,25971,solid,233
male,321-2,"['circle', 'blue', 'red', 'green']",0.8,231,task,0,232,,0.05,4,,321,red,striped,texture,2,0.15,9.226883333333333,0.15,0.05,0.8,1,5,polka-dotted,10960,solid,213
male,22a2b-2b,"['cloud', 'square', 'red', 'green']",0.48648648648648646,332,task,0,113,,0.05405405405405406,4,,22a2b,red,striped,texture,2,0.85,9.226883333333333,0.45945945945945943,0.1,0.9,1,6,polka-dotted,21941,solid,133
,,,,,,,,,,,0.7,,,,,,,9.226883333333333,,,,1,,,,,
male,311-3,"['solid', 'striped', 'polka-dotted', 'red']",0.13636363636363638,312,task,1,122,,0.18181818181818185,4,,311,striped,circle,shape,1,0.75,9.226883333333333,0.6818181818181819,0.2,0.15,1,11,square,6370,cloud,232
male,211-3,"['solid', 'striped', 'polka-dotted', 'blue', 'red']",0.09523809523809523,231,task,1,312,,0.09523809523809523,5,,211,red,circle,shape,1,0.85,9.226883333333333,0.8095238095238094,0.1,0.1,1,12,square,2820,cloud,122
male,211-3,"['solid', 'striped', 'blue', 'red', 'green']",0.03333333333333333,321,task,1,212,,0.4333333333333333,5,,211,red,circle,shape,1,0.8,9.226883333333333,0.5333333333333333,0.65,0.05,1,13,square,8660,cloud,113
male,211-3,"['solid', 'striped', 'polka-dotted', 'blue', 'red']",0.034482758620689655,211,task,1,321,,0.37931034482758624,5,,211,polka-dotted,circle,shape,1,0.85,9.226883333333333,0.5862068965517241,0.55,0.05,1,14,square,4660,cloud,132
,,,,,,,,,,,0.6,,,,,,,9.226883333333333,,,,1,,,,,
male,22b2b-2,"['cloud', 'circle', 'blue', 'green']",0.28571428571428575,111,task,2,231,,0.28571428571428575,4,,22b2b,blue,striped,texture,2,0.15,9.226883333333333,0.4285714285714286,0.1,0.1,1,19,polka-dotted,20451,solid,133
male,22b1-2,"['circle', 'square', 'blue', 'red', 'green']",0.11111111111111112,211,task,2,222,,0.05555555555555556,5,,22b1,blue,striped,texture,2,0.75,9.226883333333333,0.8333333333333333,0.05,0.1,1,20,polka-dotted,18501,solid,323
male,22b2b-2,"['circle', 'square', 'red', 'green']",0.19047619047619047,212,task,2,313,,0.047619047619047616,4,,22b2b,circle,striped,texture,2,0.8,9.226883333333333,0.7619047619047619,0.05,0.2,1,21,polka-dotted,25001,solid,233
male,311-3,"['cloud', 'circle', 'square', 'green']",0.3214285714285714,113,task,2,323,,0.03571428571428571,4,,311,circle,striped,texture,2,0.9,9.226883333333333,0.6428571428571428,0.05,0.45,1,22,polka-dotted,25711,solid,233
,,,,,,,,,,,0.8,,,,,,,9.226883333333333,,,,1,,,,,
male,22a2b-2b,"['cloud', 'circle', 'blue', 'green']",0.6666666666666666,231,task,0,123,,0,4,,22a2b,cloud,striped,texture,2,0.5,6.32675,0.3333333333333333,0,1,2,3,polka-dotted,22411,solid,133
male,311-3,"['square', 'blue', 'red', 'green']",0.3333333333333333,321,task,0,312,,0,4,,311,square,striped,texture,2,1,6.32675,0.6666666666666666,0,0.5,2,4,polka-dotted,26600,solid,333
male,211-3,"['cloud', 'circle', 'square', 'red', 'green']",0.3333333333333333,332,task,0,113,,0,5,,211,green,striped,texture,2,1,6.32675,0.6666666666666666,0,0.5,2,5,polka-dotted,17101,solid,223
male,321-3,"['circle', 'square', 'red']",0,212,task,0,322,,0,3,,321,circle,striped,texture,2,1,6.32675,1,0,0,2,6,polka-dotted,6611,solid,232
,,,,,,,,,,,1,,,,,,,6.32675,,,,2,,,,,
male,211-3,"['circle', 'square', 'blue', 'red', 'green']",0.6666666666666666,321,task,1,332,,0,5,,211,square,striped,texture,2,0.5,6.32675,0.3333333333333333,0,1,2,11,polka-dotted,11101,solid,213
male,321-3,"['circle', 'red', 'green']",1,232,task,1,213,,0,3,,321,circle,striped,texture,2,0,6.32675,0,0,1,2,12,polka-dotted,17270,solid,223
male,311-3,"['cloud', 'circle', 'square', 'green']",1,313,task,1,223,,0,4,,311,green,striped,texture,2,0,6.32675,0,0,1,2,13,polka-dotted,22751,solid,133
male,322b-2,"['circle', 'square', 'green']",1,313,task,1,233,,0,3,,322b,green,striped,texture,2,0,6.32675,0,0,1,2,14,polka-dotted,29201,solid,333
,,,,,,,,,,,1,,,,,,,6.32675,,,,2,,,,,
male,22b2b-2,"['circle', 'square', 'blue', 'red']",0,211,task,2,331,,0.3333333333333333,4,,22b2b,square,striped,texture,2,1,6.32675,0.6666666666666666,0.5,0,2,19,polka-dotted,1941,solid,312
male,211-3,"['cloud', 'circle', 'square', 'blue', 'green']",0,211,task,2,121,,1,5,,211,blue,striped,texture,2,0,6.32675,0,1,0,2,20,polka-dotted,26041,solid,333
male,311-3,"['cloud', 'blue', 'red', 'green']",0,121,task,2,112,,1,4,,311,cloud,striped,texture,2,0,6.32675,0,1,0,2,21,polka-dotted,20630,solid,133
male,22b1-3,"['circle', 'square', 'red', 'green']",0,312,task,2,222,,1,4,,22b1,circle,striped,texture,2,0,6.32675,0,1,0,2,22,polka-dotted,23891,solid,233
,,,,,,,,,,,1,,,,,,,6.32675,,,,2,,,,,
female,22a1-3,"['circle', 'square', 'solid', 'polka-dotted']",0.5517241379310345,311,task,0,232,,0.10344827586206895,4,,22a1,circle,red,color,3,0.5,7.702966666666667,0.3448275862068965,0.15,0.8,3,3,green,24222,blue,233
female,321-3,"['circle', 'square', 'polka-dotted']",0.4848484848484849,231,task,0,232,,0.060606060606060615,3,,321,circle,red,color,3,0.75,7.702966666666667,0.4545454545454546,0.1,0.8,3,4,green,27271,blue,333
female,22a2b-2a,"['cloud', 'square', 'solid', 'polka-dotted']",0.5294117647058824,112,task,0,312,,0.029411764705882353,4,,22a2b,cloud,red,color,3,0.75,7.702966666666667,0.4411764705882352,0.05,0.9,3,5,green,20882,blue,133
female,211-3,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",0.5294117647058824,221,task,0,332,,0.029411764705882353,5,,211,polka-dotted,red,color,3,0.75,7.702966666666667,0.4411764705882352,0.05,0.9,3,6,green,21642,blue,133
,,,,,,,,,,,0.8,,,,,,,7.702966666666667,,,,3,,,,,
