targetUttCode,pref3,pref1,response0,name,item,blockNr,Answer.time_in_minutes,slide_number,workerid,targetFeature,featuresPresent,numFeatures,normResponse1,normResponse2,trial_type,normResponse0,sex,targetFeatureNum,response2,pref2,utterance,certainty,obj3,obj1,response1,obj2,uttCode
321-2,polka-dotted,solid,0.15,,161,0,4.811683333333334,3,0,texture,"['cloud', 'circle', 'square', 'blue']",4,0.75,0.1,task,0.15,male,2,0.1,striped,circle,,321,111,0.75,221,321
22a1-3,polka-dotted,solid,0.7,,4951,0,4.811683333333334,4,0,texture,"['cloud', 'circle', 'blue', 'red']",4,0.48387096774193544,0.06451612903225806,task,0.4516129032258064,male,2,0.1,striped,cloud,,132,221,0.75,112,22a1
22b1-2,polka-dotted,solid,0.65,,23311,0,4.811683333333334,5,0,texture,"['cloud', 'circle', 'square', 'blue', 'green']",5,0.5172413793103449,0.034482758620689655,task,0.4482758620689655,male,2,0.05,striped,blue,,233,121,0.75,331,22b1
22b1-3,polka-dotted,solid,0.8,,19301,0,4.811683333333334,6,0,texture,"['cloud', 'square', 'blue', 'green']",4,0.46875,0.03125,task,0.5,male,2,0.05,striped,green,,323,131,0.75,113,22b1
,,,,,,,4.811683333333334,,0,,,,,,,,,,,,,0.65,,,,,
331-3,green,blue,0.85,,13990,1,4.811683333333334,11,0,color,"['cloud', 'striped']",2,0.18518518518518517,0.18518518518518517,task,0.6296296296296295,male,3,0.25,red,cloud,,123,121,0.25,122,331
211-3,green,blue,1,,11102,1,4.811683333333334,12,0,color,"['circle', 'square', 'solid', 'striped', 'polka-dotted']",5,0.07407407407407407,0.18518518518518517,task,0.7407407407407407,male,3,0.25,red,square,,213,321,0.1,332,211
311-3,green,blue,1,,11771,1,4.811683333333334,13,0,color,"['cloud', 'circle', 'square', 'solid']",4,0.08333333333333333,0.08333333333333333,task,0.8333333333333333,male,3,0.1,red,solid,,313,211,0.1,112,311
22b2b-2,green,blue,1,,1012,1,4.811683333333334,14,0,color,"['cloud', 'square', 'solid', 'polka-dotted']",4,0.043478260869565216,0.08695652173913043,task,0.8695652173913042,male,3,0.1,red,cloud,,112,311,0.05,131,22b2b
,,,,,,,4.811683333333334,,0,,,,,,,,,,,,,0.85,,,,,
22a1-3,square,cloud,0.5,,13320,2,4.811683333333334,19,0,shape,"['solid', 'striped', 'blue', 'green']",4,0.09999999999999999,0.5666666666666667,task,0.3333333333333333,male,1,0.85,circle,solid,,123,211,0.15,311,22a1
22b2b-2,square,cloud,0.8,,4860,2,4.811683333333334,20,0,shape,"['striped', 'polka-dotted', 'blue', 'red']",4,0.06666666666666667,0.39999999999999997,task,0.5333333333333333,male,1,0.6,circle,polka-dotted,,132,121,0.1,331,22b2b
311-3,square,cloud,0.9,,18410,2,4.811683333333334,21,0,shape,"['striped', 'blue', 'red', 'green']",4,0.06896551724137931,0.3103448275862069,task,0.6206896551724138,male,1,0.45,circle,striped,,323,221,0.1,122,311
