guessRank1,utterance,simRank1,Answer.time_in_minutes,blockNr,guessRank2,simRank0,targetUttCode,uttCode,evalNum,simulatedAnswer,trial_type,numFeatures,slide_number,response1,obj3,targetFeatureNum,order2,guessRank0,pref0,obj2,targetFeature,pref2,order1,normResponse1,pref1,order0,workerid,response0,response2,item,trialNum,certainty,featuresPresent,obj1,simPreference1,name,normResponse0,normResponse2,sex,simPreference0,simRank2,simPreference2
,green,,8.026616666666667,0,,,311-3,311,,233,task,4,3,1,233,1,113,,cloud,323,shape,square,233,0.9523809523809523,circle,323,0,0,0.05,25710,0,,"['solid', 'striped', 'polka-dotted', 'green']",113,1,task,0,0.047619047619047616,male,0.5,,0
,striped,,8.026616666666667,0,,,22a2b-2a,22a2b,,221,task,4,4,1,322,1,221,,cloud,312,shape,square,312,0.9523809523809523,circle,322,0,0,0.05,4230,1,,"['solid', 'striped', 'blue', 'red']",221,1,task,0,0.047619047619047616,male,0.5,,0
,polka-dotted,,8.026616666666667,0,,,321-2,321,,231,task,4,5,1,133,1,133,,cloud,232,shape,square,232,1,circle,231,0,0,0,21510,2,,"['polka-dotted', 'blue', 'red', 'green']",231,1,task,0,0,male,0.5,,0
,blue,,8.026616666666667,0,,,22a2b-2a,22a2b,,111,task,4,6,1,112,1,331,,cloud,331,shape,square,112,0.8,circle,111,0,0.25,0,1120,3,,"['solid', 'polka-dotted', 'blue', 'red']",111,1,task,0.2,0,male,0.5,,0
,,,8.026616666666667,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,
cloud,,cloud,8.026616666666667,,square,circle,,,3,,,,,,,,,circle,,,,,,,,,0,,,,,,,,,,,,,,square,
,solid,,8.026616666666667,1,,,22b1-2,22b1,,313,task,5,11,0,133,3,133,,blue,313,color,green,212,0,red,313,0,0.25,1,22242,0,,"['cloud', 'circle', 'square', 'solid', 'polka-dotted']",212,0.5,task,0.2,0.8,male,0,,1
,polka-dotted,,8.026616666666667,1,,,321-3,321,,333,task,3,12,0,333,3,332,,blue,332,color,green,131,0,red,333,0,0.15,1,27421,1,,"['cloud', 'square', 'polka-dotted']",131,0.5,task,0.13043478260869565,0.8695652173913044,male,0,,1
,striped,,8.026616666666667,1,,,22b1-3,22b1,,323,task,4,13,0,323,3,111,,blue,122,color,green,122,0,red,323,0,0,1,18372,2,,"['cloud', 'square', 'solid', 'striped']",111,0.5,task,0,1,male,0,,1
,cloud,,8.026616666666667,1,,,321-3,321,,133,task,3,14,0,133,3,111,,blue,132,color,green,132,0,red,133,0,0,1,21291,3,,"['cloud', 'solid', 'polka-dotted']",111,0.5,task,0,1,male,0,,1
,,,8.026616666666667,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,
red,,red,8.026616666666667,,blue,green,,,3,,,,,,,,,green,,,,,,,,,0,,,,,,,,,,,,,,blue,
,cloud,,8.026616666666667,2,,,22a2b-2b,22a2b,,123,task,4,19,0,333,3,123,,blue,123,color,green,333,0,red,121,0,0,1,28132,0,,"['cloud', 'square', 'striped', 'polka-dotted']",121,1,task,0,1,male,0,,0.5
,circle,,8.026616666666667,2,,,22a1-3,22a1,,213,task,4,20,0,213,3,213,,blue,132,color,green,132,0,red,131,0,0,1,10802,1,,"['cloud', 'circle', 'solid', 'polka-dotted']",131,1,task,0,1,male,0,,0.5
,striped,,8.026616666666667,2,,,22b1-2,22b1,,123,task,5,21,0,233,3,233,,blue,123,color,green,123,0,red,321,0,0,1,25152,2,,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",321,1,task,0,1,male,0,,0.5
,circle,,8.026616666666667,2,,,22a1-3,22a1,,233,task,4,22,0,233,3,233,,blue,312,color,green,311,0,red,312,0,0,1,23572,3,,"['circle', 'square', 'solid', 'polka-dotted']",311,1,task,0,1,male,0,,0.5
,,,8.026616666666667,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,
red,,green,8.026616666666667,,blue,red,,,2,,,,,,,,,green,,,,,,,,,0,,,,,,,,,,,,,,blue,
,circle,,8.026616666666667,3,,,321-3,321,,223,task,3,27,1,223,2,223,,solid,232,texture,polka-dotted,212,1,striped,232,0,0,0,16700,0,,"['circle', 'red', 'green']",212,1,task,0,0,male,0.5,,0
,circle,,8.026616666666667,3,,,22a1-3,22a1,,221,task,4,28,1,132,2,221,,solid,112,texture,polka-dotted,112,1,striped,132,0,0,0,4951,1,,"['cloud', 'circle', 'blue', 'red']",221,1,task,0,0,male,0.5,,0
,circle,,8.026616666666667,3,,,22b2b-2,22b2b,,212,task,4,29,1,233,2,313,,solid,313,texture,polka-dotted,212,0.6666666666666666,striped,233,0,0.5,0,25001,2,,"['circle', 'square', 'red', 'green']",212,1,task,0.3333333333333333,0,male,0.5,,0
,red,,8.026616666666667,3,,,311-3,311,,322,task,4,30,1,132,2,212,,solid,322,texture,polka-dotted,132,0.6666666666666666,striped,322,0,0.5,0,5561,3,,"['cloud', 'circle', 'square', 'red']",212,1,task,0.3333333333333333,0,male,0.5,,0
,,,8.026616666666667,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,
solid,,solid,8.026616666666667,,polka-dotted,striped,,,3,,,,,,,,,striped,,,,,,,,,0,,,,,,,,,,,,,,polka-dotted,
,green,,8.364666666666666,0,,,331-3,331,,323,task,2,3,0.65,323,1,323,,cloud,223,shape,square,123,0.3333333333333333,circle,223,1,0.7,0.6,20230,0,,"['striped', 'green']",123,0.5,task,0.3589743589743589,0.30769230769230765,female,0,,1
,green,,8.364666666666666,0,,,22a1-3,22a1,,333,task,4,4,0.7,333,1,233,,cloud,233,shape,square,121,0.3888888888888889,circle,333,1,0.45,0.65,29030,1,,"['striped', 'polka-dotted', 'blue', 'green']",121,0.5,task,0.25000000000000006,0.36111111111111116,female,0,,1
,green,,8.364666666666666,0,,,22a2b-2a,22a2b,,233,task,4,5,0.5,233,1,233,,cloud,113,shape,square,113,0.2702702702702703,circle,231,1,0.65,0.7,24600,2,,"['solid', 'polka-dotted', 'blue', 'green']",231,0.5,task,0.35135135135135137,0.3783783783783784,female,0,,1
,striped,,8.364666666666666,0,,,22a2b-2a,22a2b,,322,task,4,6,0.6,322,1,211,,cloud,221,shape,square,322,0.28571428571428575,circle,221,1,0.7,0.8,3710,3,,"['solid', 'striped', 'blue', 'red']",211,0.5,task,0.33333333333333337,0.38095238095238104,female,0,,1
,,,8.364666666666666,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.95,,,,,,,,,,
cloud,,circle,8.364666666666666,,circle,square,,,2,,,,,,,,,square,,,,,,,,,1,,,,,,,,,,,,,,cloud,
,green,,8.364666666666666,1,,,22b1-2,22b1,,333,task,5,11,0.65,333,1,221,,cloud,232,shape,square,333,0.3333333333333333,circle,232,1,0.7,0.6,27240,0,,"['striped', 'polka-dotted', 'blue', 'red', 'green']",221,0,task,0.3589743589743589,0.30769230769230765,female,0.5,,1
,green,,8.364666666666666,1,,,311-3,311,,313,task,4,12,0.75,233,1,123,,cloud,123,shape,square,313,0.3658536585365854,circle,233,1,0.55,0.75,25300,1,,"['solid', 'striped', 'polka-dotted', 'green']",313,0,task,0.26829268292682934,0.3658536585365854,female,0.5,,1
,red,,8.364666666666666,1,,,22a2b-2b,22a2b,,312,task,4,13,0.75,312,1,212,,cloud,212,shape,square,221,0.3488372093023256,circle,312,1,0.65,0.75,2140,2,,"['solid', 'striped', 'blue', 'red']",221,0,task,0.3023255813953489,0.3488372093023256,female,0.5,,1
