"","X","workerid","pref1","order0","simPreference0","slide_number","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","trial_type","obj1","obj2","pref0","name","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum","education","enjoyment","language","gender","comments","age","assess","orderObjNum1","orderObjNum2","orderObjNum3","simulatedAnswerObjNum","utteranceNum","evalNumModel","allPresentFeaValues","ambiguous","preferencesPrior1","preferencesPrior2","preferencesPrior3"
"20",20,1,"striped",213,0,6,233,2,0,"striped","texture",10.0976833333333,1,"task",213,223,"solid","task","striped",0.45,233,"2","polka-dotted",2,0.333333333333333,"male",223,"solid",0.666666666666667,0,233,"solid",0.5,"green","331",1,"polka-dotted","['circle', 'green']",0,"331-3","polka-dotted",0.5,25500,3,2,2,"English","Male",NA,25,"Yes",20,23,26,26,"9","3","2, 4, 9, 2, 5, 9, 2, 6, 9",TRUE,0.0909090909090909,0.363636363636364,0.545454545454545
"24",24,1,"circle",311,0.5,14,311,4,0.5,"cloud","shape",10.0976833333333,1,"task",311,213,"cloud","task","cloud",1,213,"3","square",1,0.5,"male",133,"circle",0,1,133,"circle",0,"solid","22b1",0,"square","['solid', 'polka-dotted', 'blue', 'green']",1,"22b1-3","square",1,21970,3,2,2,"English","Male",NA,25,"Yes",3,25,20,3,"4","2","3, 4, 7, 1, 6, 9, 2, 4, 9",TRUE,0.539568345323741,0.0287769784172662,0.431654676258993
"28",28,1,"red",131,1,22,121,4,0.666666666666667,"red","color",10.0976833333333,0,"task",121,131,"blue","task","blue",0.65,121,"2","blue",3,0.333333333333333,"male",323,"red",0,2,323,"green",0.5,"striped","22a2b",0,"green","['cloud', 'square', 'striped', 'polka-dotted']",1,"22a2b-2a","green",0.5,17892,3,2,2,"English","Male",NA,25,"Yes",7,24,4,4,"5","1","1, 6, 7, 3, 5, 9, 1, 5, 7",TRUE,0.363636363636364,0.272727272727273,0.363636363636364
"32",32,1,"circle",322,0.5,30,313,4,0.4,"cloud","shape",10.0976833333333,1,"task",322,113,"cloud","task","cloud",0.6,113,"3","square",1,0.4,"male",313,"circle",0.2,3,313,"circle",0,"green","22a2b",0.5,"square","['solid', 'striped', 'red', 'green']",1,"22a2b-2b","square",1,13070,3,2,2,"English","Male",NA,25,"Yes",15,21,19,21,"9","1","3, 5, 8, 3, 4, 9, 1, 4, 9",TRUE,0.396825396825397,0.317460317460317,0.285714285714286
"36",36,2,"striped",232,1,6,211,3,1,"striped","texture",8.2745,0,"task",211,222,"solid","task","solid",1,222,"2","solid",2,0,"female",211,"striped",0,0,232,"polka-dotted",0.5,"circle","321",0,"polka-dotted","['circle', 'blue', 'red']",1,"321-3","polka-dotted",0,6390,3,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",17,2,14,2,"2","3","2, 6, 8, 2, 4, 7, 2, 5, 8",TRUE,0.782608695652174,0.16304347826087,0.0543478260869565
"40",40,2,"circle",232,0.5,14,312,4,0.290322580645161,"cloud","shape",8.2745,1,"task",312,322,"cloud","task","square",1,322,"3","square",1,0.645161290322581,"female",312,"circle",0.0645161290322581,1,232,"circle",0,"red","321",0.1,"square","['solid', 'striped', 'polka-dotted', 'red']",0.45,"321-2","cloud",1,6620,3,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",17,12,15,12,"8","3","2, 6, 8, 3, 4, 8, 3, 5, 8",TRUE,0.269662921348315,0.0561797752808989,0.674157303370786
"44",44,2,"red",131,1,22,131,4,0.606060606060606,"green","color",8.2745,0.5,"task",131,132,"blue","task","blue",1,132,"3","blue",3,0.393939393939394,"female",313,"red",0,2,313,"red",0,"cloud","22a1",0,"green","['cloud', 'square', 'solid', 'polka-dotted']",1,"22a1-3","green",0.65,12512,3,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",7,21,16,7,"1","2","1, 6, 7, 3, 4, 9, 1, 6, 8",TRUE,0.447513812154696,0.414364640883978,0.138121546961326
"48",48,2,"circle",112,0,30,212,3,0,"square","shape",8.2745,0.5,"task",112,212,"cloud","task","circle",0.6,212,"2","circle",1,0.5,"female",322,"cloud",0.5,3,322,"cloud",1,"solid","321",0.75,"square","['solid', 'striped', 'red']",0,"321-3","square",0.75,4180,3,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",10,15,11,11,"4","3","1, 4, 8, 3, 5, 8, 2, 4, 8",TRUE,0.0425531914893617,0.638297872340426,0.319148936170213
"52",52,3,"circle",111,0.5,6,312,4,0.411764705882353,"cloud","shape",7.7028,1,"task",111,312,"cloud","task","square",0.7,332,"3","square",1,0.588235294117647,"female",312,"circle",0,0,332,"circle",0,"solid","22a2b",0,"square","['solid', 'polka-dotted', 'blue', 'red']",0.7,"22a2b-2a","cloud",1,7350,3,4,2,"English","Male",NA,49,"Yes",1,12,18,12,"4","3","1, 4, 7, 3, 4, 8, 3, 6, 8",TRUE,0.352941176470588,0.117647058823529,0.529411764705882
"56",56,3,"striped",222,0,14,321,4,0.0434782608695652,"polka-dotted","texture",7.7028,0.5,"task",321,222,"solid","task","striped",0.65,321,"3","striped",2,0.0869565217391304,"female",332,"solid",0.869565217391304,1,332,"solid",1,"square","22b2b",1,"polka-dotted","['circle', 'square', 'blue', 'red']",0.05,"22b2b-2","polka-dotted",0.1,7631,3,4,2,"English","Male",NA,49,"Yes",14,18,6,6,"3","3","2, 5, 8, 3, 6, 8, 3, 5, 7",TRUE,0.178571428571429,0.642857142857143,0.178571428571429
