workerid,Browser,screenH,screenW,OS
0,Chrome,768,1366,Windows
1,Chrome,768,1366,Linux
2,Chrome,1080,1920,Windows
3,Chrome,979,1739,Windows
4,Chrome,1440,2560,Windows
5,Chrome,768,1366,Windows
6,Chrome,1080,1920,Windows
7,Chrome,1080,1920,Windows
8,Chrome,1080,1920,Windows
9,Chrome,864,1536,Windows
10,Chrome,900,1600,Windows
11,Chrome,1080,1920,Windows
12,Chrome,768,1366,Linux
13,Chrome,1440,2560,Mac
14,Chrome,768,1360,Windows
15,Chrome,864,1536,Windows
16,Chrome,800,1280,Mac
17,Chrome,1080,1920,Windows
18,Chrome,1080,1920,Windows
19,Chrome,780,1386,Windows
20,Chrome,768,1366,Windows
21,Chrome,864,1536,Windows
22,Chrome,1152,2048,Mac
23,Chrome,864,1536,Windows
24,Firefox,840,1344,Windows
25,Chrome,768,1366,Linux
26,Chrome,900,1600,Windows
27,Chrome,900,1440,Mac
28,Chrome,1080,1920,Windows
29,Chrome,900,1600,Windows
30,Chrome,1440,2560,Windows
31,Chrome,1080,1920,Windows
32,Chrome,768,1366,Windows
33,Chrome,864,1536,Windows
34,Chrome,1080,1920,Windows
35,Chrome,900,1600,Windows
36,Chrome,768,1366,Windows
37,Chrome,1080,1920,Windows
38,Chrome,768,1366,Windows
39,Chrome,864,1536,Windows
40,Chrome,768,1366,Windows
41,Firefox,600,1067,Windows
42,Chrome,768,1366,Windows
43,Chrome,900,1440,Windows
44,Chrome,864,1536,Windows
45,Chrome,900,1440,Mac
46,Chrome,1200,1920,Windows
47,Chrome,768,1366,Windows
48,Firefox,963,1540,Windows
49,Chrome,768,1366,Windows
50,Firefox,1024,1280,Windows
51,Chrome,768,1366,Windows
52,Chrome,1440,2560,Mac
53,Firefox,1080,1920,Windows
54,Chrome,853,1517,Linux
55,Chrome,1080,1920,Windows
56,Chrome,864,1536,Windows
57,Chrome,900,1440,Windows
58,Firefox,1080,1920,Windows
59,Chrome,900,1600,Windows
60,Chrome,864,1536,Windows
61,Chrome,1080,1920,Windows
62,Chrome,768,1366,Windows
63,Chrome,1080,1920,Windows
64,Chrome,864,1536,Windows
65,Chrome,1080,2560,Windows
66,Chrome,768,1366,Windows
67,Chrome,1080,1920,Windows
68,Chrome,1050,1680,Windows
69,Chrome,864,1536,Windows
70,Chrome,1080,1920,Windows
71,Chrome,768,1366,Windows
72,Chrome,864,1536,Windows
73,Firefox,768,1366,Windows
74,Chrome,900,1600,Windows
75,Chrome,768,1366,Linux
76,Chrome,1080,1920,Windows
77,Chrome,1440,2560,Windows
78,Chrome,900,1440,Mac
79,Chrome,720,1280,Windows
80,Chrome,864,1536,Windows
81,Chrome,720,1280,Windows
82,Chrome,1080,1920,Windows
83,Chrome,768,1366,Windows
84,Chrome,1080,1920,Windows
85,Chrome,535,951,Windows
86,Chrome,1080,1920,Windows
87,Chrome,768,1366,Windows
88,Firefox,768,1280,Windows
89,Chrome,1080,1920,Windows
90,Firefox,1080,1920,Windows
91,Firefox,825,1467,Windows
92,Chrome,768,1366,Windows
93,Chrome,576,1024,Linux
94,Chrome,1080,1920,Windows
