pref1,order0,simPreference0,slide_number,simulatedAnswer,numFeatures,normResponse0,simRank1,targetFeature,Answer.time_in_minutes,simPreference2,trial_type,obj1,obj2,pref0,name,guessRank0,certainty,order2,evalNum,simRank0,targetFeatureNum,normResponse2,sex,order1,guessRank2,normResponse1,blockNr,obj3,workerid,simRank2,simPreference1,utterance,uttCode,response1,pref2,featuresPresent,response0,targetUttCode,guessRank1,response2,item,trialNum
circle,232,0,3,333,5,0.2142857142857143,,shape,17.337866666666667,0.5,task,221,232,cloud,task,,,221,,,1,0.5,female,333,,0.28571428571428575,0,333,0,,1,green,22b1,0.4,square,"['striped', 'polka-dotted', 'blue', 'red', 'green']",0.3,22b1-2,,0.7,27240,0
circle,231,0,4,231,4,0.25,,shape,17.337866666666667,0.5,task,231,212,cloud,task,,,132,,,1,0.25,female,212,,0.5,0,132,0,,1,blue,22b2b,0.7,square,"['solid', 'polka-dotted', 'blue', 'red']",0.35,22b2b-2,,0.35,5070,1
circle,311,0,5,311,4,0.17391304347826086,,shape,17.337866666666667,0.5,task,311,221,cloud,task,,,231,,,1,0.47826086956521735,female,221,,0.34782608695652173,0,231,0,,1,solid,321,0.4,square,"['solid', 'striped', 'polka-dotted', 'blue']",0.2,321-2,,0.55,430,2
circle,133,0,6,321,4,0.19230769230769235,,shape,17.337866666666667,0.5,task,321,133,cloud,task,,,333,,,1,0.5384615384615385,female,321,,0.2692307692307693,0,333,0,,1,blue,22a2b,0.35,square,"['striped', 'polka-dotted', 'blue', 'green']",0.25,22a2b-2b,,0.7,28810,3
,,,,,,,,,17.337866666666667,,,,,,,,0.8,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,square,,17.337866666666667,,,,,,,square,,,2,circle,,,,,cloud,,,,0,cloud,,,,,,,,,circle,,,
circle,132,1,11,132,5,0.47826086956521735,,shape,17.337866666666667,0.5,task,311,322,cloud,task,,,322,,,1,0.26086956521739124,female,311,,0.26086956521739124,1,132,0,,0,red,22b1,0.3,square,"['solid', 'striped', 'polka-dotted', 'blue', 'red']",0.55,22b1-2,,0.3,5480,0
circle,221,1,12,221,4,0.17391304347826086,,shape,17.337866666666667,0.5,task,221,122,cloud,task,,,323,,,1,0.26086956521739124,female,122,,0.5652173913043478,1,323,0,,0,blue,311,0.65,square,"['striped', 'blue', 'red', 'green']",0.2,311-3,,0.3,18410,1
circle,311,1,13,133,5,0.5454545454545454,,shape,17.337866666666667,0.5,task,311,223,cloud,task,,,133,,,1,0.2727272727272727,female,223,,0.18181818181818182,1,133,0,,0,green,211,0.2,square,"['solid', 'striped', 'polka-dotted', 'blue', 'green']",0.6,211-3,,0.3,22570,2
circle,321,1,14,123,3,0.6,,shape,17.337866666666667,0.5,task,321,123,cloud,task,,,223,,,1,0.16,female,123,,0.24,1,223,0,,0,green,321,0.3,square,"['striped', 'blue', 'green']",0.75,321-3,,0.2,17550,3
