"","X","workerid","pref1","order0","simPreference0","slide_number","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","trial_type","obj1","obj2","pref0","name","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum","education","enjoyment","language","gender","comments","age","assess","orderObjNum1","orderObjNum2","orderObjNum3","simulatedAnswerObjNum","utteranceNum","evalNumModel","allPresentFeaValues","ambiguous","preferencesPrior1","preferencesPrior2","preferencesPrior3"
"17",17,1,"striped",222,0,3,222,4,0.310344827586207,"striped","texture",10.0976833333333,1,"task",222,223,"solid","task","striped",0.45,223,"1","polka-dotted",2,0,"male",133,"solid",0.689655172413793,0,133,"solid",0.5,"circle","22a2b",1,"polka-dotted","['cloud', 'circle', 'red', 'green']",0.45,"22a2b-2a","polka-dotted",0,22681,0,2,2,"English","Male",NA,25,"Yes",14,25,23,14,"2","1","2, 5, 8, 1, 6, 9, 2, 5, 9",FALSE,0.5,0.25,0.25
"18",18,1,"striped",311,0,4,221,4,0,"striped","texture",10.0976833333333,1,"task",111,311,"solid","task","striped",0.45,111,"2","polka-dotted",2,0,"male",221,"solid",1,0,221,"solid",0.5,"blue","321",1,"polka-dotted","['cloud', 'circle', 'square', 'blue']",0,"321-2","polka-dotted",0,51,1,2,2,"English","Male",NA,25,"Yes",3,5,1,5,"7","3","3, 4, 7, 2, 5, 7, 1, 4, 7",TRUE,0.25,0.25,0.5
"19",19,1,"striped",212,0,5,132,4,0,"striped","texture",10.0976833333333,1,"task",212,132,"solid","task","striped",0.45,332,"2","polka-dotted",2,0,"male",132,"solid",1,0,332,"solid",0.5,"red","321",1,"polka-dotted","['cloud', 'circle', 'square', 'red']",0,"321-2","polka-dotted",0,7951,2,2,2,"English","Male",NA,25,"Yes",11,16,18,16,"8","2","2, 4, 8, 1, 6, 8, 3, 6, 8",TRUE,0.125,0.5,0.375
"20",20,1,"striped",213,0,6,233,2,0,"striped","texture",10.0976833333333,1,"task",213,223,"solid","task","striped",0.45,233,"2","polka-dotted",2,0.333333333333333,"male",223,"solid",0.666666666666667,0,233,"solid",0.5,"green","331",1,"polka-dotted","['circle', 'green']",0,"331-3","polka-dotted",0.5,25500,3,2,2,"English","Male",NA,25,"Yes",20,23,26,26,"9","3","2, 4, 9, 2, 5, 9, 2, 6, 9",TRUE,0.0909090909090909,0.363636363636364,0.545454545454545
"21",21,1,"circle",331,0.5,11,332,4,0.25,"cloud","shape",10.0976833333333,1,"task",331,212,"cloud","task","cloud",1,332,"2","square",1,0.5,"male",212,"circle",0.25,1,332,"circle",0,"red","22a2b",0.5,"square","['solid', 'polka-dotted', 'blue', 'red']",0.5,"22a2b-2a","square",1,7330,0,2,2,"English","Male",NA,25,"Yes",9,11,18,18,"8","2","3, 6, 7, 2, 4, 8, 3, 6, 8",TRUE,0.517241379310345,0.172413793103448,0.310344827586207
"22",22,1,"circle",221,0.5,12,321,4,0.333333333333333,"cloud","shape",10.0976833333333,1,"task",221,321,"cloud","task","cloud",1,321,"3","square",1,0.666666666666667,"male",232,"circle",0,1,232,"circle",0,"striped","22a2b",0,"square","['striped', 'polka-dotted', 'blue', 'red']",0.5,"22a2b-2b","square",1,5740,1,2,2,"English","Male",NA,25,"Yes",5,17,6,6,"5","2","2, 5, 7, 2, 6, 8, 3, 5, 7",TRUE,0.652173913043478,0.0869565217391304,0.260869565217391
"23",23,1,"circle",122,0.5,13,122,4,0.5,"cloud","shape",10.0976833333333,1,"task",122,222,"cloud","task","cloud",1,222,"3","square",1,0.5,"male",233,"circle",0,1,233,"circle",0,"striped","22a2b",0,"square","['striped', 'polka-dotted', 'red', 'green']",1,"22a2b-2b","square",1,23900,2,2,2,"English","Male",NA,25,"Yes",13,26,14,13,"5","2","1, 5, 8, 2, 6, 9, 2, 5, 8",TRUE,0.595238095238095,0.0476190476190476,0.357142857142857
"24",24,1,"circle",311,0.5,14,311,4,0.5,"cloud","shape",10.0976833333333,1,"task",311,213,"cloud","task","cloud",1,213,"3","square",1,0.5,"male",133,"circle",0,1,133,"circle",0,"solid","22b1",0,"square","['solid', 'polka-dotted', 'blue', 'green']",1,"22b1-3","square",1,21970,3,2,2,"English","Male",NA,25,"Yes",3,25,20,3,"4","2","3, 4, 7, 1, 6, 9, 2, 4, 9",TRUE,0.539568345323741,0.0287769784172662,0.431654676258993
"25",25,1,"red",122,1,19,121,3,0.666666666666667,"red","color",10.0976833333333,0,"task",121,112,"blue","task","blue",0.65,121,"2","blue",3,0.333333333333333,"male",112,"red",0,2,122,"green",0.5,"cloud","322b",0,"green","['cloud', 'solid', 'striped']",1,"322b-2","green",0.5,2591,0,2,2,"English","Male",NA,25,"Yes",13,10,4,4,"1","1","1, 5, 8, 1, 4, 8, 1, 5, 7",TRUE,0.285714285714286,0.142857142857143,0.571428571428572
"26",26,1,"red",321,1,20,321,4,0.666666666666667,"red","color",10.0976833333333,0,"task",321,222,"blue","task","blue",0.65,222,"2","blue",3,0.333333333333333,"male",332,"red",0,2,332,"green",0.5,"striped","22b2b",0,"green","['circle', 'square', 'striped', 'polka-dotted']",1,"22b2b-2","green",0.5,7632,1,2,2,"English","Male",NA,25,"Yes",6,18,14,6,"5","1","3, 5, 7, 3, 6, 8, 2, 5, 8",TRUE,0.232558139534884,0.0697674418604651,0.697674418604651
"27",27,1,"red",123,1,21,221,5,0.666666666666667,"red","color",10.0976833333333,0,"task",221,123,"blue","task","blue",0.65,221,"2","blue",3,0.333333333333333,"male",333,"red",0,2,333,"green",0.5,"striped","22b1",0,"green","['cloud', 'circle', 'square', 'striped', 'polka-dotted']",1,"22b1-2","green",0.5,28142,2,2,2,"English","Male",NA,25,"Yes",22,27,5,5,"5","1","1, 5, 9, 3, 6, 9, 2, 5, 7",TRUE,0.307692307692308,0.138461538461538,0.553846153846154
"28",28,1,"red",131,1,22,121,4,0.666666666666667,"red","color",10.0976833333333,0,"task",121,131,"blue","task","blue",0.65,121,"2","blue",3,0.333333333333333,"male",323,"red",0,2,323,"green",0.5,"striped","22a2b",0,"green","['cloud', 'square', 'striped', 'polka-dotted']",1,"22a2b-2a","green",0.5,17892,3,2,2,"English","Male",NA,25,"Yes",7,24,4,4,"5","1","1, 6, 7, 3, 5, 9, 1, 5, 7",TRUE,0.363636363636364,0.272727272727273,0.363636363636364
"29",29,1,"circle",323,0.5,27,323,5,0.27027027027027,"cloud","shape",10.0976833333333,1,"task",211,222,"cloud","task","cloud",0.6,211,"2","square",1,0.459459459459459,"male",222,"circle",0.27027027027027,3,323,"circle",0,"striped","22b1",0.5,"square","['solid', 'striped', 'blue', 'red', 'green']",0.5,"22b1-2","square",0.85,18500,0,2,2,"English","Male",NA,25,"Yes",24,14,2,24,"5","2","3, 5, 9, 2, 5, 8, 2, 4, 7",TRUE,0.483870967741935,0.193548387096774,0.32258064516129
"30",30,1,"circle",322,0.5,28,311,4,0.25,"cloud","shape",10.0976833333333,1,"task",311,212,"cloud","task","cloud",0.6,212,"2","square",1,0.5,"male",311,"circle",0.25,3,322,"circle",0,"solid","22b2b",0.5,"square","['solid', 'striped', 'blue', 'red']",0.5,"22b2b-2","square",1,4110,1,2,2,"English","Male",NA,25,"Yes",15,3,11,3,"4","2","3, 5, 8, 3, 4, 7, 2, 4, 8",TRUE,0.652173913043478,0.0869565217391304,0.260869565217391
"31",31,1,"circle",312,0.5,29,113,4,0.4,"cloud","shape",10.0976833333333,1,"task",312,113,"cloud","task","cloud",0.6,133,"3","square",1,0.4,"male",113,"circle",0.2,3,133,"circle",0,"green","22a2b",0.5,"square","['solid', 'polka-dotted', 'red', 'green']",1,"22a2b-2a","square",1,21880,2,2,2,"English","Male",NA,25,"Yes",12,19,25,19,"9","2","3, 4, 8, 1, 4, 9, 1, 6, 9",FALSE,0.6,0.16,0.24
"32",32,1,"circle",322,0.5,30,313,4,0.4,"cloud","shape",10.0976833333333,1,"task",322,113,"cloud","task","cloud",0.6,113,"3","square",1,0.4,"male",313,"circle",0.2,3,313,"circle",0,"green","22a2b",0.5,"square","['solid', 'striped', 'red', 'green']",1,"22a2b-2b","square",1,13070,3,2,2,"English","Male",NA,25,"Yes",15,21,19,21,"9","1","3, 5, 8, 3, 4, 9, 1, 4, 9",TRUE,0.396825396825397,0.317460317460317,0.285714285714286
"33",33,2,"striped",233,1,3,213,2,0.5,"striped","texture",8.2745,0,"task",213,223,"solid","task","solid",1,213,"2","solid",2,0.25,"female",223,"striped",0.25,0,233,"polka-dotted",0.5,"green","331",0.35,"polka-dotted","['circle', 'green']",0.7,"331-3","polka-dotted",0.35,25500,0,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",26,23,20,20,"9","2","2, 6, 9, 2, 5, 9, 2, 4, 9",TRUE,0.5,0.25,0.25
"34",34,2,"striped",221,1,4,211,3,0.62962962962963,"striped","texture",8.2745,0,"task",211,221,"solid","task","solid",1,232,"2","solid",2,0.185185185185185,"female",211,"striped",0.185185185185185,0,232,"polka-dotted",0.5,"circle","321",0.25,"polka-dotted","['circle', 'blue', 'red']",0.85,"321-3","polka-dotted",0.25,5670,1,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",5,2,17,2,"2","2","2, 5, 7, 2, 4, 7, 2, 6, 8",TRUE,0.666666666666667,0.166666666666667,0.166666666666667
"35",35,2,"striped",133,1,5,313,5,1,"striped","texture",8.2745,0,"task",212,313,"solid","task","solid",1,313,"2","solid",2,0,"female",212,"striped",0,0,133,"polka-dotted",0.5,"green","22b1",0,"polka-dotted","['cloud', 'circle', 'square', 'red', 'green']",1,"22b1-2","polka-dotted",0,22241,2,2,2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",27,"Yes",25,11,21,21,"9","3","1, 6, 9, 2, 4, 8, 3, 4, 9",TRUE,0.642857142857143,0.267857142857143,0.0892857142857143
