"","X.3","X.2","X.1","X","pref1","order0","simPreference0","slide_number","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","trial_type","obj1","obj2","pref0","name","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","workerid","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum","orderObjNum1","orderObjNum2","orderObjNum3","simulatedAnswerObjNum","utteranceNum","evalNumModel","allPresentFeaValues","ambiguous"
"17",17,17,17,25,"striped",222,0,3,222,4,0.310344827586207,"striped","texture",10.0976833333333,1,"task",222,223,"solid","task","striped",0.45,223,"1","polka-dotted",2,0,"male",133,"solid",0.689655172413793,0,133,1,"solid",0.5,"circle","22a2b",1,"polka-dotted","['cloud', 'circle', 'red', 'green']",0.45,"22a2b-2a","polka-dotted",0,22681,0,14,25,23,14,"2","1","2, 5, 8, 1, 6, 9, 2, 5, 9",FALSE
"18",18,18,18,26,"striped",311,0,4,221,4,0,"striped","texture",10.0976833333333,1,"task",111,311,"solid","task","striped",0.45,111,"2","polka-dotted",2,0,"male",221,"solid",1,0,221,1,"solid",0.5,"blue","321",1,"polka-dotted","['cloud', 'circle', 'square', 'blue']",0,"321-2","polka-dotted",0,51,1,3,5,1,5,"7","3","3, 4, 7, 2, 5, 7, 1, 4, 7",TRUE
"19",19,19,19,27,"striped",212,0,5,132,4,0,"striped","texture",10.0976833333333,1,"task",212,132,"solid","task","striped",0.45,332,"2","polka-dotted",2,0,"male",132,"solid",1,0,332,1,"solid",0.5,"red","321",1,"polka-dotted","['cloud', 'circle', 'square', 'red']",0,"321-2","polka-dotted",0,7951,2,11,16,18,16,"8","2","2, 4, 8, 1, 6, 8, 3, 6, 8",TRUE
"20",20,20,20,28,"striped",213,0,6,233,2,0,"striped","texture",10.0976833333333,1,"task",213,223,"solid","task","striped",0.45,233,"2","polka-dotted",2,0.333333333333333,"male",223,"solid",0.666666666666667,0,233,1,"solid",0.5,"green","331",1,"polka-dotted","['circle', 'green']",0,"331-3","polka-dotted",0.5,25500,3,20,23,26,26,"9","3","2, 4, 9, 2, 5, 9, 2, 6, 9",TRUE
"21",21,21,21,31,"circle",331,0.5,11,332,4,0.25,"cloud","shape",10.0976833333333,1,"task",331,212,"cloud","task","cloud",1,332,"2","square",1,0.5,"male",212,"circle",0.25,1,332,1,"circle",0,"red","22a2b",0.5,"square","['solid', 'polka-dotted', 'blue', 'red']",0.5,"22a2b-2a","square",1,7330,0,9,11,18,18,"8","2","3, 6, 7, 2, 4, 8, 3, 6, 8",TRUE
"22",22,22,22,32,"circle",221,0.5,12,321,4,0.333333333333333,"cloud","shape",10.0976833333333,1,"task",221,321,"cloud","task","cloud",1,321,"3","square",1,0.666666666666667,"male",232,"circle",0,1,232,1,"circle",0,"striped","22a2b",0,"square","['striped', 'polka-dotted', 'blue', 'red']",0.5,"22a2b-2b","square",1,5740,1,5,17,6,6,"5","2","2, 5, 7, 2, 6, 8, 3, 5, 7",TRUE
"23",23,23,23,33,"circle",122,0.5,13,122,4,0.5,"cloud","shape",10.0976833333333,1,"task",122,222,"cloud","task","cloud",1,222,"3","square",1,0.5,"male",233,"circle",0,1,233,1,"circle",0,"striped","22a2b",0,"square","['striped', 'polka-dotted', 'red', 'green']",1,"22a2b-2b","square",1,23900,2,13,26,14,13,"5","2","1, 5, 8, 2, 6, 9, 2, 5, 8",TRUE
"24",24,24,24,34,"circle",311,0.5,14,311,4,0.5,"cloud","shape",10.0976833333333,1,"task",311,213,"cloud","task","cloud",1,213,"3","square",1,0.5,"male",133,"circle",0,1,133,1,"circle",0,"solid","22b1",0,"square","['solid', 'polka-dotted', 'blue', 'green']",1,"22b1-3","square",1,21970,3,3,25,20,3,"4","3","3, 4, 7, 1, 6, 9, 2, 4, 9",TRUE
"25",25,25,25,37,"red",122,1,19,121,3,0.666666666666667,"red","color",10.0976833333333,0,"task",121,112,"blue","task","blue",0.65,121,"2","blue",3,0.333333333333333,"male",112,"red",0,2,122,1,"green",0.5,"cloud","322b",0,"green","['cloud', 'solid', 'striped']",1,"322b-2","green",0.5,2591,0,13,10,4,4,"1","1","1, 5, 8, 1, 4, 8, 1, 5, 7",TRUE
"26",26,26,26,38,"red",321,1,20,321,4,0.666666666666667,"red","color",10.0976833333333,0,"task",321,222,"blue","task","blue",0.65,222,"2","blue",3,0.333333333333333,"male",332,"red",0,2,332,1,"green",0.5,"striped","22b2b",0,"green","['circle', 'square', 'striped', 'polka-dotted']",1,"22b2b-2","green",0.5,7632,1,6,18,14,6,"5","1","3, 5, 7, 3, 6, 8, 2, 5, 8",TRUE
