"","pref1","order0","simPreference0","slide_number","simulatedAnswer","numFeatures","normResponse0","simRank1","targetFeature","Answer.time_in_minutes","simPreference2","trial_type","obj1","obj2","pref0","name","guessRank0","certainty","order2","evalNum","simRank0","targetFeatureNum","normResponse2","sex","order1","guessRank2","normResponse1","blockNr","obj3","workerid","simRank2","simPreference1","utterance","uttCode","response1","pref2","featuresPresent","response0","targetUttCode","guessRank1","response2","item","trialNum"
"1","circle",232,0,3,333,5,0.214285714285714,"square","shape",17.3378666666667,0.5,"task",221,232,"cloud","task","square",0.8,221,2,"circle",1,0.5,"female",333,"cloud",0.285714285714286,0,333,0,"cloud",1,"green","22b1",0.4,"square","['striped', 'polka-dotted', 'blue', 'red', 'green']",0.3,"22b1-2","circle",0.7,27240,0
"2","circle",231,0,4,231,4,0.25,"square","shape",17.3378666666667,0.5,"task",231,212,"cloud","task","square",0.8,132,2,"circle",1,0.25,"female",212,"cloud",0.5,0,132,0,"cloud",1,"blue","22b2b",0.7,"square","['solid', 'polka-dotted', 'blue', 'red']",0.35,"22b2b-2","circle",0.35,5070,1
"3","circle",311,0,5,311,4,0.173913043478261,"square","shape",17.3378666666667,0.5,"task",311,221,"cloud","task","square",0.8,231,2,"circle",1,0.478260869565217,"female",221,"cloud",0.347826086956522,0,231,0,"cloud",1,"solid","321",0.4,"square","['solid', 'striped', 'polka-dotted', 'blue']",0.2,"321-2","circle",0.55,430,2
"4","circle",133,0,6,321,4,0.192307692307692,"square","shape",17.3378666666667,0.5,"task",321,133,"cloud","task","square",0.8,333,2,"circle",1,0.538461538461539,"female",321,"cloud",0.269230769230769,0,333,0,"cloud",1,"blue","22a2b",0.35,"square","['striped', 'polka-dotted', 'blue', 'green']",0.25,"22a2b-2b","circle",0.7,28810,3
"5",NA,NA,NA,NA,NA,NA,NA,"square",NA,17.3378666666667,NA,NA,NA,NA,NA,NA,"square",0.8,NA,2,"circle",NA,NA,NA,NA,"cloud",NA,NA,NA,0,"cloud",NA,NA,NA,NA,NA,NA,NA,NA,"circle",NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,"square",NA,17.3378666666667,NA,NA,NA,NA,NA,NA,"square",0.85,NA,2,"circle",NA,NA,NA,NA,"cloud",NA,NA,NA,0,"cloud",NA,NA,NA,NA,NA,NA,NA,NA,"circle",NA,NA,NA
"7","circle",132,1,11,132,5,0.478260869565217,"square","shape",17.3378666666667,0.5,"task",311,322,"cloud","task","cloud",0.85,322,2,"cloud",1,0.260869565217391,"female",311,"square",0.260869565217391,1,132,0,"circle",0,"red","22b1",0.3,"square","['solid', 'striped', 'polka-dotted', 'blue', 'red']",0.55,"22b1-2","circle",0.3,5480,0
"8","circle",221,1,12,221,4,0.173913043478261,"square","shape",17.3378666666667,0.5,"task",221,122,"cloud","task","cloud",0.85,323,2,"cloud",1,0.260869565217391,"female",122,"square",0.565217391304348,1,323,0,"circle",0,"blue","311",0.65,"square","['striped', 'blue', 'red', 'green']",0.2,"311-3","circle",0.3,18410,1
"9","circle",311,1,13,133,5,0.545454545454545,"square","shape",17.3378666666667,0.5,"task",311,223,"cloud","task","cloud",0.85,133,2,"cloud",1,0.272727272727273,"female",223,"square",0.181818181818182,1,133,0,"circle",0,"green","211",0.2,"square","['solid', 'striped', 'polka-dotted', 'blue', 'green']",0.6,"211-3","circle",0.3,22570,2
"10","circle",321,1,14,123,3,0.6,"square","shape",17.3378666666667,0.5,"task",321,123,"cloud","task","cloud",0.85,223,2,"cloud",1,0.16,"female",123,"square",0.24,1,223,0,"circle",0,"green","321",0.3,"square","['striped', 'blue', 'green']",0.75,"321-3","circle",0.2,17550,3
