"","education","enjoyment","language","gender","comments","workerid","age","assess"
"1","3",2,"English","Female","None",0,48,"Yes"
"2","2",2,"English","Male",NA,1,25,"Yes"
"3","2",2,"English","Other","Very cool game, perfect for me to get my brain going for the morning! You guys ROCK!",2,27,"Yes"
"4","4",2,"English","Male",NA,3,49,"Yes"
"5","3",1,"english","Female","thank you",4,58,"Yes"
"6","3",2,"English","Female",NA,5,34,"Yes"
"7","3",1,"English","Female",NA,6,42,"Yes"
"8","3",1,"English","Female",NA,7,42,"Yes"
"9","2",2,"english","Male",NA,8,56,"Yes"
"10","3",1,"English","Female",NA,9,50,"Yes"
"11","3",2,"english","Male",NA,10,34,"Yes"
"12","3",1,"English","Male",NA,11,37,"Yes"
"13","2",2,"English","Female","I am wondering if the qualifiers for the sliders were switched because my results were coming out differently than expected.",12,41,"Yes"
"14","4",2,"English","Female","None.",13,52,"No"
"15","2",2,"English","Male","Thanks for the HIT!  I did my best and hope the data is useful!",14,44,"Yes"
"16","3",2,"English","Other","This was a fun game",15,28,"Yes"
"17","4",2,"English","Male",NA,16,30,"Yes"
"18","1",2,"English","Female","I actually had fun with this hit, thank you!",17,40,"Yes"
"19","3",2,"English","Male",NA,18,36,"Yes"
"20","1",1,"english","Male","ty",19,33,"Yes"
"21","3",1,"English","Female",NA,20,31,"Yes"
"22","2",1,"english","Male",NA,21,38,"Yes"
"23","3",2,"English","Female","That was fun!",22,33,"Yes"
"24","3",2,"English","Male",NA,23,25,"Yes"
"25","2",2,"English","Female","I thought this was very interesting and fun.  Thanks",24,68,"Yes"
"26","2",1,"eng","Male",NA,25,40,"Yes"
"27","2",2,"english","Female","Interesting!",26,41,"Yes"
"28","3",2,"English","Female",NA,27,35,"Yes"
"29","1",1,"English","Male",NA,28,25,"Yes"
"30","2",2,"english","Male",NA,29,33,"Yes"
"31","1",2,"English","Male",NA,30,24,"Yes"
"32","2",2,"Italian","Male","Thank you very much for this HIT, and best of luck with your research",31,40,"Yes"
"33","1",2,"English","Female","That was really fun but a little difficult choosing the favorites for each.",32,61,"Yes"
"34","3",1,"English","Female","I think I am terrible at these types of logic games. Ugh! ",33,52,"Yes"
"35","1",2,"English","Male","No comments, thank you!",34,24,"Yes"
"36","2",2,"English","Female",NA,35,26,"Yes"
"37","3",2,"English","Female","Cool survey!",36,54,"Yes"
"38","-1",2,"English","Male",NA,37,35,"Yes"
"39","3",2,"English","Male","No comments.",38,27,"Yes"
"40","4",2,"English","Female",NA,39,34,"Yes"
"41","3",2,"English","Male","This experiment is very interesting",40,44,"Yes"
"42","3",1,"English","Male",NA,41,37,"Confused"
"43","2",2,"English","Female",NA,42,43,"Yes"
"44","2",2,"English","Male","thank you",43,43,"Yes"
"45","3",2,"English","Male",NA,44,27,"Yes"
"46","3",2,"English","Female",NA,45,30,"Yes"
"47","1",2,"english","Female","interesting study",46,25,"Yes"
"48","4",2,"Urdu","Female","Interested would always like to work with you",47,46,"Yes"
"49","2",2,"English","Male",NA,48,41,"Yes"
"50","3",2,"English","Male","No comments.",49,28,"Yes"
"51","3",2,"English","Male","Fun study.  Really enjoyed it.",50,35,"Yes"
"52","3",2,"english","Female",NA,51,39,"Yes"
"53","4",2,"English","Male",NA,52,44,"Yes"
"54","2",2,"English",NA,"That was really interesting to complete.",53,34,"Yes"
"55","3",1,"english","Male",NA,54,21,"Yes"
"56","3",2," English","Female","Thank you! fun task!",55,26,"Yes"
"57","4",2,"English","Male","No comments!",56,64,"Yes"
"58","3",2,"English","Female","This was so much fun. I hope you submit another HIT like it and I am lucky enough to snag it. Thanks for brightening my day!",57,50,"Yes"
"59","3",2,"english","Male",NA,58,29,"Yes"
"60","2",2,"English","Male","Interesting experiment",59,29,"Yes"
"61","3",2,"English","Female","I thought this was way better than the average hit. It was fun. ",60,25,"Yes"
"62","3",2,"English","Male","This was fun and smooth",61,27,"Yes"
"63","1",2,"English","Female",NA,62,29,"Yes"
"64","3",2,"English","Male",NA,63,53,"Yes"
"65","2",1,"English","Female","Wasn't too difficult. There was no technical issues.",64,39,"Yes"
"66","3",1,"english","Male",NA,65,31,"Yes"
"67","2",1,"English","Female","none",66,68,"Yes"
"68","3",2,"English","Male","Thank you",67,35,"Yes"
"69","1",2,"English","Female",NA,68,62,"Yes"
"70","3",2,"English","Male",NA,69,31,"Yes"
"71","2",2,"English","Male",NA,70,42,"Yes"
"72","1",2,"english","Female","nice game/task! I had fun!",71,32,"Yes"
"73","3",2,"English","Male",NA,72,37,"Yes"
"74","3",2,"English","Female",NA,73,37,"Yes"
"75","1",2,"English","Female","I  really enjoyed this challenge",74,60,"Yes"
"76","2",1,"English","Female",NA,75,39,"Yes"
"77","3",1,"english","Male",NA,76,33,"Yes"
"78","3",2,"English","Male","It was fun, thank you.",77,30,"Yes"
"79","3",2,"English","Male",NA,78,35,"Yes"
"80","2",2,"English","Female","This was fun to do",79,60,"Yes"
"81","3",2,"English","Female","I found it fun",80,45,"Yes"
"82","3",1,"english","Female",NA,81,39,"Yes"
"83","2",2,"English","Male",NA,82,32,"Yes"
"84","2",2,"English","Male",NA,83,42,"Yes"
"85","3",2,"English","Female",NA,84,34,"Yes"
"86","2",2,"English","Female",NA,85,45,"Confused"
"87","3",2,"English","Male","no comments",86,37,"Yes"
"88","2",2,"english","Male",NA,87,34,"Yes"
"89","2",2,"English","Female",NA,88,27,"Yes"
"90","3",2,"English","Female","This was a really fun experiment! ",89,27,"Yes"
"91","3",2,"ENGLISH","Male",NA,90,30,"Yes"
"92","0",1,"English","Other",NA,91,33,"Yes"
"93","3",2,"English","Female","very interesting thank you",92,45,"Yes"
"94","2",2,"English","Female",NA,93,34,"Yes"
"95","2",1,"english","Male",NA,94,40,"Yes"
"96","3",1,"English","Female",NA,95,40,"Yes"
"97","3",2,"English","Male","good survey",96,30,"Yes"
"98","3",2,"English","Male","very happy and love to work this kind of hit",97,26,"Yes"
"99","1",1,"English","Male",NA,98,43,"Yes"
"100","2",2,"English","Female","This was kind of fun. Thanks!",99,46,"Yes"
