"","workerid","Browser","screenH","screenW","OS"
"1",0,"Chrome",768,1366,"Windows"
"2",1,"Chrome",768,1366,"Linux"
"3",2,"Chrome",1080,1920,"Windows"
"4",3,"Chrome",979,1739,"Windows"
"5",4,"Chrome",1440,2560,"Windows"
"6",5,"Chrome",768,1366,"Windows"
"7",6,"Chrome",1080,1920,"Windows"
"8",7,"Chrome",1080,1920,"Windows"
"9",8,"Chrome",1080,1920,"Windows"
"10",9,"Chrome",864,1536,"Windows"
"11",10,"Chrome",900,1600,"Windows"
"12",11,"Chrome",1080,1920,"Windows"
"13",12,"Chrome",768,1366,"Linux"
"14",13,"Chrome",1440,2560,"Mac"
"15",14,"Chrome",768,1360,"Windows"
"16",15,"Chrome",864,1536,"Windows"
"17",16,"Chrome",800,1280,"Mac"
"18",17,"Chrome",1080,1920,"Windows"
"19",18,"Chrome",1080,1920,"Windows"
"20",19,"Chrome",780,1386,"Windows"
"21",20,"Chrome",768,1366,"Windows"
"22",21,"Chrome",864,1536,"Windows"
"23",22,"Chrome",1152,2048,"Mac"
"24",23,"Chrome",864,1536,"Windows"
"25",24,"Firefox",840,1344,"Windows"
"26",25,"Chrome",768,1366,"Linux"
"27",26,"Chrome",900,1600,"Windows"
"28",27,"Chrome",900,1440,"Mac"
"29",28,"Chrome",1080,1920,"Windows"
"30",29,"Chrome",900,1600,"Windows"
"31",30,"Chrome",1440,2560,"Windows"
"32",31,"Chrome",1080,1920,"Windows"
"33",32,"Chrome",768,1366,"Windows"
"34",33,"Chrome",864,1536,"Windows"
"35",34,"Chrome",1080,1920,"Windows"
"36",35,"Chrome",900,1600,"Windows"
"37",36,"Chrome",768,1366,"Windows"
"38",37,"Chrome",1080,1920,"Windows"
"39",38,"Chrome",768,1366,"Windows"
"40",39,"Chrome",864,1536,"Windows"
"41",40,"Chrome",768,1366,"Windows"
"42",41,"Firefox",600,1067,"Windows"
"43",42,"Chrome",768,1366,"Windows"
"44",43,"Chrome",900,1440,"Windows"
"45",44,"Chrome",864,1536,"Windows"
"46",45,"Chrome",900,1440,"Mac"
"47",46,"Chrome",1200,1920,"Windows"
"48",47,"Chrome",768,1366,"Windows"
"49",48,"Firefox",963,1540,"Windows"
"50",49,"Chrome",768,1366,"Windows"
"51",50,"Firefox",1024,1280,"Windows"
"52",51,"Chrome",768,1366,"Windows"
"53",52,"Chrome",1440,2560,"Mac"
"54",53,"Firefox",1080,1920,"Windows"
"55",54,"Chrome",853,1517,"Linux"
"56",55,"Chrome",1080,1920,"Windows"
"57",56,"Chrome",864,1536,"Windows"
"58",57,"Chrome",900,1440,"Windows"
"59",58,"Firefox",1080,1920,"Windows"
"60",59,"Chrome",900,1600,"Windows"
"61",60,"Chrome",864,1536,"Windows"
"62",61,"Chrome",1080,1920,"Windows"
"63",62,"Chrome",768,1366,"Windows"
"64",63,"Chrome",1080,1920,"Windows"
"65",64,"Chrome",864,1536,"Windows"
"66",65,"Chrome",1080,2560,"Windows"
"67",66,"Chrome",768,1366,"Windows"
"68",67,"Chrome",1080,1920,"Windows"
"69",68,"Chrome",1050,1680,"Windows"
"70",69,"Chrome",864,1536,"Windows"
"71",70,"Chrome",1080,1920,"Windows"
"72",71,"Chrome",768,1366,"Windows"
"73",72,"Chrome",864,1536,"Windows"
"74",73,"Firefox",768,1366,"Windows"
"75",74,"Chrome",900,1600,"Windows"
"76",75,"Chrome",768,1366,"Linux"
"77",76,"Chrome",1080,1920,"Windows"
"78",77,"Chrome",1440,2560,"Windows"
"79",78,"Chrome",900,1440,"Mac"
"80",79,"Chrome",720,1280,"Windows"
"81",80,"Chrome",864,1536,"Windows"
"82",81,"Chrome",720,1280,"Windows"
"83",82,"Chrome",1080,1920,"Windows"
"84",83,"Chrome",768,1366,"Windows"
"85",84,"Chrome",1080,1920,"Windows"
"86",85,"Chrome",535,951,"Windows"
"87",86,"Chrome",1080,1920,"Windows"
"88",87,"Chrome",768,1366,"Windows"
"89",88,"Firefox",768,1280,"Windows"
"90",89,"Chrome",1080,1920,"Windows"
"91",90,"Firefox",1080,1920,"Windows"
"92",91,"Firefox",825,1467,"Windows"
"93",92,"Chrome",768,1366,"Windows"
"94",93,"Chrome",576,1024,"Linux"
"95",94,"Chrome",1080,1920,"Windows"
"96",95,"Chrome",864,1536,"Windows"
"97",96,"Chrome",768,1364,"Windows"
"98",97,"Chrome",900,1600,"Windows"
"99",98,"Chrome",1080,1920,"Windows"
"100",99,"Chrome",900,1600,"Windows"
